<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.03	09:30:00	21412.65	21452.78	21412.65	21426.40	18954	0	95
2025.06.03	09:45:00	21426.25	21440.90	21423.65	21438.65	12478	0	95
2025.06.03	10:00:00	21438.75	21444.40	21406.75	21417.75	15209	0	95
2025.06.03	10:15:00	21417.90	21424.00	21398.78	21414.78	15845	0	95
2025.06.03	10:30:00	21414.65	21444.15	21413.40	21442.90	11939	0	95
2025.06.03	10:45:00	21442.78	21448.28	21431.78	21443.40	7363	0	95
2025.06.03	11:00:00	21443.28	21454.90	21435.40	21451.78	7593	0	95
2025.06.03	11:15:00	21451.65	21455.00	21430.15	21443.65	7707	0	95
2025.06.03	11:30:00	21443.50	21464.65	21437.65	21460.78	6900	0	95
2025.06.03	11:45:00	21460.90	21463.75	21442.00	21450.15	9211	0	95
2025.06.03	12:00:00	21450.28	21463.00	21436.25	21443.50	9368	0	95
2025.06.03	12:15:00	21443.40	21457.03	21439.90	21456.53	6950	0	95
2025.06.03	12:30:00	21456.40	21476.03	21454.90	21474.15	8608	0	95
2025.06.03	12:45:00	21474.03	21494.15	21459.00	21493.90	9221	0	95
2025.06.03	13:00:00	21494.03	21509.40	21483.40	21504.40	11445	0	95
2025.06.03	13:15:00	21504.28	21513.15	21498.00	21512.90	7949	0	95
2025.06.03	13:30:00	21513.03	21534.40	21503.40	21525.15	10183	0	95
2025.06.03	13:45:00	21525.28	21531.03	21509.65	21526.40	8992	0	95
2025.06.03	14:00:00	21526.50	21539.03	21511.40	21524.40	11825	0	95
2025.06.03	14:15:00	21524.25	21542.90	21511.15	21539.78	12896	0	95
2025.06.03	14:30:00	21539.90	21541.40	21506.25	21509.15	13418	0	95
2025.06.03	14:45:00	21509.00	21536.15	21502.78	21534.28	14286	0	95
2025.06.03	15:00:00	21534.15	21546.28	21523.28	21534.78	11012	0	95
2025.06.03	15:15:00	21534.90	21556.00	21532.75	21544.03	15534	0	95
2025.06.03	15:30:00	21543.90	21595.28	21509.50	21563.40	139078	0	95
2025.06.03	15:45:00	21563.28	21605.40	21557.40	21589.50	82733	0	95
2025.06.03	16:00:00	21589.50	21638.03	21557.28	21605.40	104863	0	95
2025.06.03	16:15:00	21605.53	21628.15	21596.75	21621.03	67659	0	95
2025.06.03	16:30:00	21620.90	21621.03	21583.78	21612.15	59271	0	95
2025.06.03	16:45:00	21612.03	21662.90	21609.53	21660.28	45679	0	95
2025.06.03	17:00:00	21660.40	21676.78	21651.90	21662.40	39509	0	95
2025.06.03	17:15:00	21662.53	21686.15	21655.40	21671.78	34422	0	95
2025.06.03	17:30:00	21671.90	21683.78	21660.90	21678.28	29935	0	95
2025.06.03	17:45:00	21678.40	21687.78	21654.78	21684.03	27211	0	95
