Time;Open;High;Low;Close
2025.10.27 01:45;25735.68;25737.44;25720.70;25721.87
2025.10.27 02:00;25721.93;25724.56;25710.82;25711.24
2025.10.27 02:15;25711.07;25727.35;25710.43;25722.99
2025.10.27 02:30;25722.49;25730.93;25720.68;25724.73
2025.10.27 02:45;25724.98;25725.73;25713.20;25717.20
2025.10.27 03:00;25716.95;25726.07;25711.68;25718.93
2025.10.27 03:15;25718.87;25728.83;25718.43;25724.24
2025.10.27 03:30;25724.22;25740.95;25723.70;25738.70
2025.10.27 03:45;25738.98;25749.87;25738.94;25749.44
2025.10.27 04:00;25749.48;25757.97;25747.11;25757.93
2025.10.27 04:15;25758.36;25771.44;25758.24;25768.23
2025.10.27 04:30;25767.99;25771.95;25758.32;25760.99
2025.10.27 04:45;25760.97;25762.24;25755.22;25760.18
2025.10.27 05:00;25759.93;25764.99;25752.45;25757.18
2025.10.27 05:15;25757.85;25766.47;25754.18;25765.86
2025.10.27 05:30;25765.95;25767.99;25758.44;25763.97
2025.10.27 05:45;25763.60;25765.19;25756.70;25761.45
2025.10.27 06:00;25761.74;25778.68;25760.43;25773.98
2025.10.27 06:15;25773.69;25780.98;25769.93;25779.68
2025.10.27 06:30;25779.74;25781.74;25771.48;25774.93
2025.10.27 06:45;25775.20;25787.69;25774.45;25781.45
2025.10.27 07:00;25781.68;25795.74;25779.45;25787.68
2025.10.27 07:15;25787.99;25800.72;25786.23;25797.43
2025.10.27 07:30;25797.20;25801.23;25785.45;25790.49
2025.10.27 07:45;25790.44;25795.70;25781.43;25782.70
2025.10.27 08:00;25782.48;25800.38;25778.57;25797.13
2025.10.27 08:15;25797.37;25815.90;25797.36;25806.38
2025.10.27 08:30;25806.62;25813.42;25798.62;25799.15
2025.10.27 08:45;25798.90;25802.42;25790.91;25791.60
2025.10.27 09:00;25792.12;25797.42;25781.87;25790.13
2025.10.27 09:15;25790.41;25795.36;25770.62;25775.67
2025.10.27 09:30;25775.67;25794.67;25767.61;25792.37
2025.10.27 09:45;25792.37;25806.15;25792.12;25801.38
2025.10.27 10:00;25801.62;25804.37;25795.11;25800.17
2025.10.27 10:15;25800.41;25803.40;25789.15;25791.62
2025.10.27 10:30;25791.12;25824.86;25790.62;25823.66
2025.10.27 10:45;25824.13;25838.07;25822.15;25838.07
2025.10.27 11:00;25838.65;25840.65;25828.36;25836.87
2025.10.27 11:15;25837.11;25846.38;25835.37;25843.16
2025.10.27 11:30;25842.86;25850.17;25837.61;25845.16
2025.10.27 11:45;25844.90;25851.42;25836.37;25837.40
2025.10.27 12:00;25837.62;25847.40;25829.63;25832.36
2025.10.27 12:15;25832.65;25838.67;25827.61;25835.16
2025.10.27 12:30;25835.16;25836.41;25819.36;25820.88
2025.10.27 12:45;25820.65;25822.92;25810.36;25818.90
2025.10.27 13:00;25817.88;25843.67;25816.63;25840.81
2025.10.27 13:15;25840.56;25844.66;25832.15;25834.88
2025.10.27 13:30;25834.61;25835.17;25823.61;25832.41
2025.10.27 13:45;25832.37;25836.86;25827.90;25830.12
2025.10.27 14:00;25829.91;25841.83;25826.62;25833.06
2025.10.27 14:15;25833.15;25838.37;25814.13;25814.92
2025.10.27 14:30;25815.17;25858.36;25796.06;25837.17
2025.10.27 14:45;25837.36;25853.40;25808.92;25847.61
2025.10.27 15:00;25848.87;25874.66;25841.62;25858.90
2025.10.27 15:15;25858.86;25867.92;25822.37;25867.61
2025.10.27 15:30;25867.67;25888.87;25856.61;25887.56
2025.10.27 15:45;25887.86;25890.81;25850.61;25856.81
2025.10.27 16:00;25856.87;25893.61;25855.40;25892.56
2025.10.27 16:15;25892.13;25899.87;25873.87;25897.33
2025.10.27 16:30;25897.16;25906.90;25891.83;25906.58
2025.10.27 16:45;25906.37;25906.87;25887.58;25892.35
